Site,Designation,AYLD_CONT,Blk,analysisResultFolder,username,design,respvars,environment,environmentLevels,genotype,block,rep,row,column,descriptiveStat,varianceComponents,boxplotRawData,histogramRawData,heatmapResiduals,heatmapRow,heatmapColumn,diagnosticPlot,genotypeFixed,performPairwise,pairwiseAlpha,genotypeLevels,controlLevels,compareControl,performAllPairwise,genotypeRandom,excludeControls,genoPhenoCorrelation
Env1,IR 97628-28-2-2-B,917,2,BIOFORT-IRRIHQ-OYT-2014-DS-1_AYLD_CONT_31,l.gallardo,0,AYLD_CONT,Site,NULL,Designation,Blk,NULL,NULL,NULL,TRUE,TRUE,TRUE,FALSE,FALSE,NULL,NULL,TRUE,TRUE,FALSE,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE
Env1,IR 97454-24-2-7-B,800,2,BIOFORT-IRRIHQ-OYT-2014-DS-1_AYLD_CONT_31,l.gallardo,0,AYLD_CONT,Site,NULL,Designation,Blk,NULL,NULL,NULL,TRUE,TRUE,TRUE,FALSE,FALSE,NULL,NULL,TRUE,TRUE,FALSE,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE
Env1,IR 97453-52-3-1-B,NA,1,BIOFORT-IRRIHQ-OYT-2014-DS-1_AYLD_CONT_31,l.gallardo,0,AYLD_CONT,Site,NULL,Designation,Blk,NULL,NULL,NULL,TRUE,TRUE,TRUE,FALSE,FALSE,NULL,NULL,TRUE,TRUE,FALSE,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE
Env1,IR 97452-29-2-8-B,854,1,BIOFORT-IRRIHQ-OYT-2014-DS-1_AYLD_CONT_31,l.gallardo,0,AYLD_CONT,Site,NULL,Designation,Blk,NULL,NULL,NULL,TRUE,TRUE,TRUE,FALSE,FALSE,NULL,NULL,TRUE,TRUE,FALSE,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE
Env1,IR 97449-35-1-1-B,113,2,BIOFORT-IRRIHQ-OYT-2014-DS-1_AYLD_CONT_31,l.gallardo,0,AYLD_CONT,Site,NULL,Designation,Blk,NULL,NULL,NULL,TRUE,TRUE,TRUE,FALSE,FALSE,NULL,NULL,TRUE,TRUE,FALSE,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE
Env1,IR 94042-42-1-1-2-B,563,2,BIOFORT-IRRIHQ-OYT-2014-DS-1_AYLD_CONT_31,l.gallardo,0,AYLD_CONT,Site,NULL,Designation,Blk,NULL,NULL,NULL,TRUE,TRUE,TRUE,FALSE,FALSE,NULL,NULL,TRUE,TRUE,FALSE,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE
Env1,IR 97446-105-3-2-B,569,2,BIOFORT-IRRIHQ-OYT-2014-DS-1_AYLD_CONT_31,l.gallardo,0,AYLD_CONT,Site,NULL,Designation,Blk,NULL,NULL,NULL,TRUE,TRUE,TRUE,FALSE,FALSE,NULL,NULL,TRUE,TRUE,FALSE,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE
Env1,IR 97443-58-2-1-B,NA,1,BIOFORT-IRRIHQ-OYT-2014-DS-1_AYLD_CONT_31,l.gallardo,0,AYLD_CONT,Site,NULL,Designation,Blk,NULL,NULL,NULL,TRUE,TRUE,TRUE,FALSE,FALSE,NULL,NULL,TRUE,TRUE,FALSE,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE
Env1,IR 97443-55-1-1-B,NA,1,BIOFORT-IRRIHQ-OYT-2014-DS-1_AYLD_CONT_31,l.gallardo,0,AYLD_CONT,Site,NULL,Designation,Blk,NULL,NULL,NULL,TRUE,TRUE,TRUE,FALSE,FALSE,NULL,NULL,TRUE,TRUE,FALSE,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE
Env1,IR 97646-31-1-4-B,NA,2,BIOFORT-IRRIHQ-OYT-2014-DS-1_AYLD_CONT_31,l.gallardo,0,AYLD_CONT,Site,NULL,Designation,Blk,NULL,NULL,NULL,TRUE,TRUE,TRUE,FALSE,FALSE,NULL,NULL,TRUE,TRUE,FALSE,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE
Env1,IR 94045-5-1-2-1-B,736,2,BIOFORT-IRRIHQ-OYT-2014-DS-1_AYLD_CONT_31,l.gallardo,0,AYLD_CONT,Site,NULL,Designation,Blk,NULL,NULL,NULL,TRUE,TRUE,TRUE,FALSE,FALSE,NULL,NULL,TRUE,TRUE,FALSE,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE
