"Levels","type","PlantHt_means","PC1","PC2","PC3","PC4","PC5","PC6"
"G1","GEN",118.519132811749,-0.418066512465118,0.206809054419933,-0.400019427524518,0.205780355704513,0.244391329675979,-1.02985305899881e-08
"G10","GEN",137.470049932163,0.600045115777418,-1.68185036718703,2.10040171593596,0.247824386433707,-0.676262655670677,2.65182916917775e-09
"G11","GEN",114.825389291919,1.53943402897545,0.850629926086959,0.0550975236293499,-0.825172022325932,-0.11173531277377,2.04286657819287e-08
"G12","GEN",111.031725619645,-0.629840181878957,0.677636029850165,0.348472273527531,-0.185049547553771,-0.159850553901409,-5.35343242557786e-09
"G13","GEN",105.712932548286,1.17831664714317,1.175195892342,0.41262860993679,1.22656002140879,-0.222112905570133,-1.37930833794767e-08
"G14","GEN",118.411612846189,0.552120568788035,-0.0788449299285156,-0.13279611568678,0.623937187072633,0.142683779541746,-6.97619163050518e-09
"G15","GEN",122.926909359701,0.104957833514292,0.00980100012695121,-0.83743860505609,1.18104543942613,0.137374542580983,-8.79809950959766e-09
"G16","GEN",106.267045212201,-1.06638014800347,0.901685573280314,0.447781604202602,0.447315270179784,-0.356905869539428,-2.69342972617006e-08
"G17","GEN",113.421124579954,1.22814651140236,-0.154888959517889,-0.0340423003873458,-0.584883051105638,0.712885870549063,-5.51747978385658e-10
"G18","GEN",101.883975434116,0.444499698399375,-0.927897589202641,-0.0790027698526035,-0.674050349407249,1.09155247066721,1.58929728161338e-09
"G19","GEN",106.586914463518,-1.10868285115502,0.575209221609814,0.698223253597883,0.145786116420261,0.00297954127234481,-7.45664370866985e-09
"G2","GEN",148.025088566714,0.0349490831830857,-0.822560003313133,-0.689839694683803,-0.418927780559153,0.118583159652653,-3.11502608282097e-10
"G20","GEN",124.636516618747,-1.86526155880453,-0.0476100891527491,-1.12903523417615,0.745228504766015,0.669574398488498,-4.70470828165935e-09
"G21","GEN",106.201096396641,0.154150519987526,0.927834586890322,0.322774612624509,-1.08967628553816,0.838776877762494,1.00981498793257e-08
"G22","GEN",112.758183074159,0.380922157593346,0.972525869473853,0.325673082509286,0.647329577800187,0.301494036804384,6.36747590006327e-09
"G23","GEN",119.206569319954,0.295825440389734,-0.318167940766103,1.4687179148559,0.0954832712157256,0.479920051016264,-1.21113037823026e-08
"G24","GEN",117.552186955,-0.980562863786714,-0.653463203436783,0.00956792412577948,0.147780318142817,1.08395846364254,-2.44361873656835e-09
"G25","GEN",103.872053309896,-0.00597008011816064,0.267936784658148,-0.251172558586088,-0.592709950915368,-0.777072929693503,6.88346186173796e-09
"G26","GEN",110.371029125578,-0.535569976653154,-1.41515907671626,0.137944125910923,0.446990263249381,-0.146550611754499,4.25205960365498e-09
"G27","GEN",115.603299342004,-0.177086710291087,-0.402658296674896,-0.254300676651713,0.569390652124151,0.413242413303381,8.33583628141058e-09
"G28","GEN",88.4795939126999,-0.365436719956072,0.766033166633911,0.302321844051604,-0.367000661554899,-0.545357870305103,-3.94949382469696e-09
"G29","GEN",96.3115730119762,-0.803733523526956,-0.0654413873474992,-0.736456997447134,-0.0235561214633257,-0.297011007875991,2.89977879641761e-09
"G3","GEN",118.081390835125,0.111207528213517,0.283842094421337,0.0225287860054432,-0.518434366446493,0.278618260059154,2.92255927112861e-09
"G30","GEN",115.502568702861,0.693952500861127,0.552434724545102,-0.239793486086048,-0.542661234021312,0.128550488912059,-7.77906590857271e-09
"G31","GEN",134.263343732846,0.25634209660912,0.102634953814773,-0.943428285687826,-0.0906762232039261,0.447680881555406,6.48182678241286e-10
"G32","GEN",114.316332347049,0.158285181113716,0.0718358525746966,-0.00985856441348199,-1.39081952294243,-0.3607542729448,-6.72669483699082e-09
"G33","GEN",114.980568183705,0.698486757095409,-0.657135975492277,0.529575714506942,0.26756093207981,0.0576082666300555,4.33532205945804e-09
"G34","GEN",105.603807155688,0.0466999007697419,0.567665996959053,0.224872129907158,-0.157359693453569,0.688243662201964,-3.63483891107149e-10
"G35","GEN",118.742137147282,-0.240158920603554,0.391281643527165,0.33238586140466,-0.10677481729357,0.212586310105658,1.09163382918449e-09
"G36","GEN",107.77724977348,0.132297130734561,-0.254126500369338,-0.634001053526694,-0.644206305609797,-0.994455151414723,-5.70814759727194e-09
"G37","GEN",103.989131136382,0.285941090086822,0.926257501769798,0.200839516806118,0.744644001259604,-0.621902661374698,1.04296698222782e-08
"G38","GEN",128.547445170044,2.44432665863309,-0.843800953450377,-1.07402660458395,0.868885233385927,-0.722604340912392,-8.46215738971884e-09
"G39","GEN",120.093928811546,-0.542509490032954,-0.625539203832529,0.555189762178764,0.164846018956283,0.812289533606414,1.10943159751423e-08
"G4","GEN",118.562141822156,0.754826406181019,-0.135703000726818,-1.28535506689829,-0.416941095421745,0.275378110931323,-3.55887684705535e-09
"G40","GEN",117.877134804104,0.553264309185961,0.107921297106864,0.710043992006791,0.715582553575642,0.240546462880255,-3.58135175433975e-09
"G5","GEN",106.36087940229,-0.915746467611426,0.545763495453869,0.0526662341135855,0.379350344521577,-0.625371210832795,3.63913876083042e-08
"G6","GEN",99.7473215604178,-0.762304800401557,-0.440603018095205,-0.53409595294748,1.10146286065507,-0.637198095011568,1.87265478131956e-08
"G7","GEN",98.308023351343,-0.435038908030702,-0.457595294456445,-0.0902117558545571,-0.696735262343933,-0.650434839224296,-1.41500938174438e-08
"G8","GEN",108.490685567113,-1.35995494367778,-0.577761779361509,0.154790229254765,-0.925072498675943,-0.514304165688315,-6.3785471714487e-09
