"","PLOT","ENTRYNO","GID","ENTRY","DESIGNATION","PARENTS","SOURCE","REP","ROW","COLUMN","SEEDING_DATE","FLW","MATURITY","PLTHGT","TILLER","MC","Plotyield.H","MISSHILL","Plotyield.C","Plotyield.Adj","LODGING","Ldg.Sticks","GLH","BPH","BLAST","BB1","BB2","HARVESTDATE","REMARKS","Plotyield.Adj_resid_fixed"
"519",77,"A1197",3658934,"IR13A111","IR 92640-25-3-1-1","IR06M138/PSB RC 64 (IR 59552-21-3-2-2)//IR06M139","A6526",1,"8","11",20130608,87,117,119,15,11.6,2595,NA,1771,2667,NA,NA,3,7,1,"1","7","10-Oct","false smut, shb",76.4999999999995
"520",216,"A1197",3658934,"IR13A111","IR 92640-25-3-1-1","IR06M138/PSB RC 64 (IR 59552-21-3-2-2)//IR06M139","A6526",2,"4","18",20130608,84,114,122,13,10.3,2410,NA,1887,2514,NA,NA,NA,NA,NA,"1","3/5","09-Oct","bb, shb",-76.5000000000005
"521",486,"A1532",3658956,"IR13A114","IR 92669-21-3-3-2","SAMBHA MAHSURI/C 2764-10-2 (PSB RC 14)//IR04A427","A6529",1,"6","57",20130608,97,127,125,18,9.4,2007,NA,1861,2114,"7","S",3,3,3,"1","5","17-Oct",NA,9.09494701772928e-13
"522",126,"A1198",3659118,"IR13A121","IR 92584-70-2-3-2","IR01A111/IR06M139//IR00A117","A6542",1,"7","7",20130608,87,117,125,16,12.2,2126,NA,2506,2170,"9",NA,3,7,0,"3","7","10-Oct",NA,0
"523",4,"A1199",3591958,"IR13A130","IR 91051-26-2-3-3-6","IRRI 154/BR 29","A6466",1,"10","4",20130608,94,124,143,19,12.5,2148,NA,2148,2185,"7","S",3,7,0,"1","7","10-Oct","shb",4.54747350886464e-13
"524",176,"A1200",3592006,"IR13A136","IR 92269-86-2-3-3-3","IR 68897 B/IR 60819-34-2 R","A6471",1,"5","23",20130608,91,121,128,13,10.5,2295,NA,3209,2388,"9",NA,3,7,0,"1","7","14-Oct","bb, shb",4.54747350886464e-13
"525",277,"A1201",3592018,"IR13A137","IR 92274-53-3-1-2-3","IR 73328 B/IR 73013-95-1-3-2 R","A6472",1,"2","13",20130608,93,123,125,17,10.2,2098,NA,3093,2191,"7","S",5,5,4,"1","7","14-Oct","bb ",4.54747350886464e-13
"526",128,"A1202",3592387,"IR13A142","IR 92444-26-2-3-3","OM 4498/IR04A285","A6095",1,"7","5",20130608,79,109,121,19,10.1,2846,6,1920,2975,"9",NA,5,3,4,"1","7","30-Sep",NA,0
"527",83,"A1203",3592464,"IR13A147","IR 92609-15-2-2-2","IR04A427/IRRI 154//OM 4900","A6496",1,"8","17",20130608,87,117,132,13,10.1,2316,NA,2033,2421,NA,NA,7,3,3,"1"," 1/5","09-Oct","shb, neck blast (nb)",0
"528",72,"A1204",3593039,"IR13A153","IR 92644-82-3-2-1","IR06M146/IR 72102-4-159-1-3-3-3 (NSIC RC 112)//OM 4498","A6509",1,"8","6",20130608,83,113,127,11,10.5,2817,NA,3230,2932,"9",NA,3,3,0,"1","5","07-Oct",NA,0
