"","PLOT","ENTRYNO","GID","ENTRY","DESIGNATION","PARENTS","SOURCE","REP","ROW","COLUMN","SEEDING_DATE","FLW","MATURITY","PLTHGT","TILLER","MC","Plotyield.H","MISSHILL","Plotyield.C","Plotyield.Adj","LODGING","Ldg.Sticks","GLH","BPH","BLAST","BB1","BB2","HARVESTDATE","REMARKS","Plotyield.Adj_resid_fixed"
"584",50,"A1247",3769245,"IR13A371","IR 92274-RIL 41-1-1-1-1","IR 73328 B/IR 73013-95-1-3-2 R","A6652",2,"9","17",20130608,86,116,112,18,9.3,3087,3,1340,3256,NA,NA,NA,NA,NA,"1","7","07-Oct","exposed, heavy",150.000000000001
"585",150,"A1248",3769276,"IR13A376","IR 92274-RIL 72-1-1-1-1","IR 73328 B/IR 73013-95-1-3-2 R","A6722",1,"6","18",20130608,84,114,123,18,12.5,2506,NA,2594,2550,"5",NA,5,3,3,"7","7","10-Oct","bb ",0
"586",288,"A1249",3769280,"IR13A378","IR 92274-RIL 76-1-1-1-1","IR 73328 B/IR 73013-95-1-3-2 R","A6213",1,"2","24",20130608,82,112,123,15,9.3,3132,2,2363,3303,NA,NA,5,5,4,"1","5","30-Sep",NA,1.81898940354586e-12
"587",188,"A1250",3769313,"IR13A386","IR 92275-RIL 29-1-1-1-1","IR 73328 B/IR 73885-1-4-3-2-1-10 R","A6741",1,"5","11",20130608,88,118,136,22,11.4,2888,2,2563,2975,"9","S",5,3,4,"1","5","10-Oct","shb",207
"588",225,"A1250",3769313,"IR13A386","IR 92275-RIL 29-1-1-1-1","IR 73328 B/IR 73885-1-4-3-2-1-10 R","A6741",2,"4","27",20130608,90,120,128,18,11.4,2486,8,2572,2561,"9","S",NA,NA,NA,"1","7","10-Oct","awned",-207
"589",163,"A1251",3769323,"IR13A387","IR 92275-RIL 39-1-1-1-1","IR 73328 B/IR 73885-1-4-3-2-1-10 R","A6136",1,"6","31",20130608,73,103,112,22,10.2,2420,NA,2777,2527,"7","S",5,3,4,"1","1/3","27-Sep","early, droopy",-112
"590",250,"A1251",3769323,"IR13A387","IR 92275-RIL 39-1-1-1-1","IR 73328 B/IR 73885-1-4-3-2-1-10 R","A6136",2,"3","15",20130608,78,108,115,16,10.8,2652,NA,3174,2751,"9",NA,NA,NA,NA,"1","7","27-Sep","not so good",112
"591",27,"A1252",3769333,"IR13A390","IR 92275-RIL 49-1-1-1-1","IR 73328 B/IR 73885-1-4-3-2-1-10 R","A6679",1,"10","27",20130608,87,117,124,23,10.1,2512,NA,2330,2626,"7","S",3,3,4,"1","7","10-Oct","shb",0
"592",87,"A1253",3769419,"IR13A422","IR 92276-RIL 85-1-1-1-1","IR 75589-41-13-17-15-22 (TGMS)/IR 73885-1-4-1-4-3-6 R","A6593",1,"8","21",20130608,88,118,121,13,10,1804,2,2984,1888,NA,NA,3,1,4,"1","7","09-Oct",NA,2.72848410531878e-12
"593",369,"A1534",3769458,"IR13A437","IR 92277-RIL 14-1-1-1-1","IR 79125 B/IR 73885-1-4-3-2-1-10 R","A6613",1,"9","61",20130608,92,122,132,14,10.3,2315,NA,2623,2415,"9","S",5,3,2,"1","7","14-Oct","shb",0
"594",135,"A1254",3769466,"IR13A441","IR 92277-RIL 22-1-1-1-1","IR 79125 B/IR 73885-1-4-3-2-1-10 R","A6253",1,"6","3",20130608,89,119,121,18,10.8,2298,NA,2612,2384,"9","S",3,3,3,"1","7","07-Oct",NA,-4.54747350886464e-13
"595",299,"A1255",3769548,"IR13A467","IR 92278-RIL 5-1-1-1-1","IR 80559 B/IR 60819-34-2 R","A6167",1,"1","32",20130608,89,119,125,18,10.5,2136,NA,2016,2223,"7",NA,3,5,3,"1","7","03-Oct",NA,0
"596",111,"A1256",3769596,"IR13A479","IR 92278-RIL 53-1-1-1-1","IR 80559 B/IR 60819-34-2 R","A6132",1,"7","22",20130608,86,116,119,17,10.1,2611,1,3108,2729,"5","S",3,5,3,"1","7","05-Oct","shb, seed discolration ",0
"597",61,"A1257",3769611,"IR13A484","IR 92278-RIL 68-1-1-1-1","IR 80559 B/IR 60819-34-2 R","A6174",1,"9","6",20130608,88,118,120,21,10.1,1802,NA,2769,1884,"7",NA,5,3,1,"1","5","07-Oct","shb",1.81898940354586e-12
"598",241,"A1258",3769657,"IR13A495","IR 92278-RIL 114-1-1-1-1","IR 80559 B/IR 60819-34-2 R","A6235",1,"3","24",20130608,88,118,117,14,11.8,2585,NA,2428,2651,"5",NA,5,7,3,"1","5","10-Oct",NA,0
"599",57,"B1259",3658769,"IR13N102","IR 92385-11-3-3-1","IR 83317-50-1-2-2/IR 71700-247-1-1-2","B6511",1,"9","10",20130608,91,121,124,21,11.4,3513,NA,3007,3619,NA,NA,3,1,3,"1","5","10-Oct","good,, erect",276.000000000002
"600",105,"B1259",3658769,"IR13N102","IR 92385-11-3-3-1","IR 83317-50-1-2-2/IR 71700-247-1-1-2","B6511",2,"7","28",20130608,87,117,117,18,9.7,2921,NA,1897,3067,NA,NA,NA,NA,NA,"1","7","09-Oct",NA,-275.999999999998
"601",477,"B1573",3658812,"IR13N103","IR 92409-51-3-2-2","IR09N530/IR04A428","B6514",1,"6","48",20130608,94,124,139,20,10.3,3286,NA,2780,3427,"3",NA,5,5,2,"1","1","17-Oct",NA,233.500000000001
"602",542,"B1573",3658812,"IR13N103","IR 92409-51-3-2-2","IR09N530/IR04A428","B6514",2,"4","47",20130608,91,121,132,15,11.4,2873,NA,2803,2960,"7",NA,NA,NA,NA,"1","5",NA,NA,-233.499999999999
"603",210,"B1260",3658815,"IR13N104","IR 92409-59-2-3-2","IR09N530/IR04A428","B6515",1,"4","12",20130608,86,116,124,18,10.3,3209,NA,3100,3347,"7",NA,3,5,4,"1","1","10-Oct","spreading type",377.000000000001
"604",256,"B1260",3658815,"IR13N104","IR 92409-59-2-3-2","IR09N530/IR04A428","B6515",2,"3","9",20130608,90,120,134,19,10.5,2492,NA,2980,2593,"5","S",NA,NA,NA,"1"," 1/5","17-Oct",NA,-376.999999999999
"605",194,"B1261",3658868,"IR13N105","IR 92443-94-2-1-1","NSIC RC 158/IR08N121","B6518",1,"5","5",20130608,89,119,111,20,10.2,2452,NA,3093,2560,NA,NA,7,3,1,"1","7","09-Oct",NA,0
"606",101,"B1262",3658923,"IR13N106","IR 92632-147-3-3-2","IR05N181/MTU 1010//IR00A117","B6524",1,"7","32",20130608,87,117,117,18,10.7,2263,NA,2636,2350,"7","S",5,3,1,"1","7","14-Oct",NA,4.54747350886464e-13
"607",137,"B1263",3658976,"IR13N108","IR 92344-20-2-1-1","IR04A427/IR09N529","B6530",1,"6","5",20130608,90,120,128,18,13,3380,NA,2520,3419,"5",NA,3,1,1,"1","7","10-Oct",NA,1.81898940354586e-12
"608",308,"B1264",3659055,"IR13N112","IR 92399-44-3-2-2","IR 83673-94-1-1-3/IR05A117","B6535",1,"1","23",20130608,88,118,127,18,10.1,2816,NA,2272,2944,NA,NA,3,1,4,"1","7","14-Oct","shb",0
"609",130,"B1265",3659123,"IR13N115","IR 92586-11-3-1-1","IR01A111/MTU 1010//NSIC RC 158","B6543",1,"7","3",20130608,93,123,134,19,10.2,2323,NA,2117,2426,NA,NA,3,1,0,"1","5","17-Oct",NA,-398
"610",183,"B1265",3659123,"IR13N115","IR 92586-11-3-1-1","IR01A111/MTU 1010//NSIC RC 158","B6543",2,"5","16",20130608,94,124,127,20,10.8,3106,NA,2497,3222,NA,NA,NA,NA,NA,"1","7","17-Oct",NA,398
"611",82,"B1266",3659331,"IR13N128","IR 92649-34-1-2-2","IR 6 (PAKISTAN)/IRRI 143//IR06N156","B6562",1,"8","16",20130608,94,124,125,16,10.8,2539,NA,2554,2633,"3",NA,5,5,4,"1","1/3","14-Oct",NA,-316.499999999999
"612",254,"B1266",3659331,"IR13N128","IR 92649-34-1-2-2","IR 6 (PAKISTAN)/IRRI 143//IR06N156","B6562",2,"3","11",20130608,94,124,130,19,9.4,3100,NA,3109,3266,"5",NA,NA,NA,NA,"1","1","17-Oct",NA,316.500000000001
"613",16,"B1267",3592031,"IR13N130","IR 92326-98-1-2-1","JANAKI/IR08N104","B6473",1,"10","16",20130608,90,120,132,30,10.9,2381,NA,2379,2467,"7","S",7,3,4,"1","3","10-Oct",NA,0
"614",75,"B1268",3592044,"IR13N131","IR 92328-7-1-3-2","CIHERANG/IR08N158","B6474",1,"8","9",20130608,90,120,132,16,12.2,2769,NA,2607,2827,"9",NA,7,5,3,"1","7","10-Oct",NA,-4.54747350886464e-13
"615",100,"B1269",3592049,"IR13N132","IR 92328-82-1-1-1","CIHERANG/IR08N158","B6475",1,"7","33",20130608,90,120,121,16,10.6,3166,1,2577,3291,"9",NA,9,3,1,"1","7","03-Oct",NA,91.0000000000014
"616",201,"B1269",3592049,"IR13N132","IR 92328-82-1-1-1","CIHERANG/IR08N158","B6475",2,"4","3",20130608,90,120,135,16,10.7,2994,NA,3020,3109,"5","S",NA,NA,NA,"1","7","10-Oct",NA,-90.9999999999986
"617",63,"B1270",3592078,"IR13N134","IR 92339-6-3-3-3","IR04A213/IR09N494","B6093",1,"9","4",20130608,90,120,125,17,12.2,2748,1,2595,2806,"9","S",9,1,1,"1","5","10-Oct","shb",157
"618",266,"B1270",3592078,"IR13N134","IR 92339-6-3-3-3","IR04A213/IR09N494","B6093",2,"2","2",20130608,89,119,132,18,10.8,2403,NA,2766,2492,"9","S",NA,NA,NA,"1","7","14-Oct",NA,-157
"619",124,"B1271",3592179,"IR13N141","IR 92369-88-2-3-2","IR08N194/OM 4498","B6484",1,"7","9",20130608,88,118,137,13,9.2,2863,NA,2152,3023,"3",NA,3,1,3,"1","3/5","09-Oct","shb",170
"620",260,"B1271",3592179,"IR13N141","IR 92369-88-2-3-2","IR08N194/OM 4498","B6484",2,"3","5",20130608,91,121,136,18,11.4,2604,NA,2816,2683,"5",NA,NA,NA,NA,"1","7","17-Oct",NA,-170
"621",107,"B1272",3592212,"IR13N143","IR 92384-5-3-2-2","IR10N104/IR08N158","B6486",1,"7","26",20130608,86,116,119,16,9.1,2588,NA,3019,2735,"7",NA,3,1,1,"1","7","03-Oct","neck blast(nb)",0
"622",162,"B1273",3592246,"IR13N144","IR 92410-13-2-2-3","IR09N530/IR05N128","B6487",1,"6","30",20130608,88,118,127,16,9.2,2675,NA,2452,2824,"5","S",5,1,4,"1","1","03-Oct",NA,-4.54747350886464e-13
"623",131,"B1274",3592328,"IR13N145","IR 92428-91-2-1-1","IR09N481/BR 11","B6094",1,"7","2",20130608,84,114,145,14,10.7,2934,NA,2952,3047,"9","S",7,3,4,"1","7","19-Oct","shb",0
"624",155,"B1275",3592574,"IR13N149","IR 92371-82-3-2-1","IR09N494/IR05A117","A6502",1,"6","23",20130608,91,121,127,18,10.8,2952,NA,3018,3062,"7",NA,5,1,1,"1","1","10-Oct",NA,0
"625",2,"B1276",3592595,"IR13N151","IR 92388-49-3-1-1","IR 83317-50-1-2-2/IR05N160","A6504",1,"10","2",20130608,90,120,117,32,9.5,2715,NA,2715,2857,"9","S",3,1,1,"1","5","10-Oct","shb",-4.54747350886464e-13
"626",22,"B1277",3592657,"IR13N152","IR 92413-2-3-3-3","IR 83704-31-3-3-2/IR09N529","A6505",1,"10","22",20130608,91,121,127,21,10.9,2797,NA,3279,2898,"3",NA,3,1,3,"1","7","09-Oct","shb",0
"627",356,"Z1535",4016499,"IR13P001","IR13P001","TE QING/LEMONT","Zhao01",1,"10","59",20130608,92,122,115,13,10.1,1319,NA,2433,1379,"5","S",9,5,0,"1","05-Mar","14-Oct","poor, BB,ShB,",-9.09494701772928e-13
"628",641,"Z1536",4016500,"IR13P003","IR13P003","TE QING/LEMONT","Zhao02",1,"1","53",20130608,93,123,121,11,10.5,2296,NA,NA,2389,NA,NA,9,5,0,"5","5","20-Oct","many grains, light ",-4.54747350886464e-13
"629",466,"Z1537",4016501,"IR13P016","IR13P016","TE QING/LEMONT","Zhao03",1,"6","37",20130608,95,125,116,14,10.8,2404,NA,2798,2493,NA,NA,9,3,0,"1","7","17-Oct","poor; leaf problem,shb",0
"630",410,"Z1538",4016502,"IR13P018","IR13P018","IR 85483-68 RIL-1-1-1-1/IR 68","Zhao04",1,"8","47",20130608,89,119,110,13,9.3,1225,NA,2314,1292,NA,NA,7,3,0,"7","5","14-Oct","severe BB",-1.36424205265939e-12
"631",648,"Z1539",4016503,"IR13P020","IR13P020","IR 85483-68 RIL-1-1-1-1/IR 68","Zhao05",1,"1","46",20130608,88,118,116,13,11.3,2409,NA,NA,2485,"3",NA,5,5,1,"1","7",NA,"BB, shB",0
"632",367,"Z1540",4016504,"IR13P028","IR13P028","YANGDAO 6/SANHUANGZHAN NO 2","Zhao06",1,"9","63",20130608,96,126,125,13,10.2,2055,NA,2421,2146,"7",NA,9,7,3,"1","7","17-Oct","BB, BS",-4.54747350886464e-13
"633",595,"Z1541",4016505,"IR13P035","IR13P035","TE QING/LEMONT","Zhao07",1,"2","34",20130608,85,115,113,14,10,2106,NA,NA,2204,NA,NA,9,5,0,"1","5","14-Oct","OFF TYPES",4.54747350886464e-13
"634",364,"Z1542",4016506,"IR13P036","IR13P036","TE QING/LEMONT","Zhao08",1,"9","66",20130608,87,117,115,14,10.9,1625,NA,2051,1684,"3",NA,9,5,0,"1","5","10-Oct","BB, SHB",2.50111042987555e-12
"635",379,"Z1543",4016507,"IR13P037","IR13P037","TE QING/LEMONT","Zhao09",1,"9","51",20130608,93,123,119,11,10.7,1469,NA,2129,1525,"7","S",7,5,0,"7","5","10-Oct","BB, BS(severe)",-1.36424205265939e-12
"636",545,"Z1544",4016508,"IR13P040","IR13P040","TE QING/LEMONT","Zhao10",1,"4","50",20130608,94,124,116,13,10.5,2291,NA,2290,2384,NA,NA,7,5,4,"1","7","17-Oct","Blast, BB, poor",-4.54747350886464e-13
"637",99,"A1278",4016517,"IRRI104","PSB RC 10","IR 33021-39-2-2/IR 50404","BS",1,"8","33",20130608,84,114,118,26,10.9,2033,NA,2929,2106,NA,NA,NA,NA,NA,"1","1","14-Oct","get plot samples beside Rc10 fillers",-45
"638",439,"B1574",4016517,"IRRI104","PSB RC 10","IR 33021-39-2-2/IR 50404","BS",1,"7","57",20130608,71,101,90,14,11.3,2129,NA,2428,2196,NA,NA,5,3,0,"1","5","03-Oct","rat damage (30%)",45
"639",514,"A1580",82290,"IRRI105","PSB RC 18","IR 24594-204-1-3-2-6-2/IR 28222-9-2-2-2-2","A3697",1,"5","48",20130608,102,132,125,22,9,2381,NA,3237,2519,NA,NA,5,5,1,"1","5","14-Oct",NA,136.999999999999
"640",593,"A1580",82290,"IRRI105","PSB RC 18","IR 24594-204-1-3-2-6-2/IR 28222-9-2-2-2-2","A3697",2,"3","35",20130608,102,132,126,15,9.9,2143,NA,NA,2245,NA,NA,NA,NA,NA,"1","5","17-Oct",NA,-137.000000000001
"641",475,"A1582",447391,"IRRI119","PSB RC 68","IR 43581-57-3-3-6/IR 26940-20-3-3-3-1//KHAO DAWK MALI 105","A3661",1,"6","46",20130608,98,128,141,17,10,2846,NA,2986,2978,"7","S",5,7,2,"1","3",NA,"shb",234.5
"642",507,"A1582",447391,"IRRI119","PSB RC 68","IR 43581-57-3-3-6/IR 26940-20-3-3-3-1//KHAO DAWK MALI 105","A3661",2,"5","55",20130608,99,129,141,14,11.5,2438,NA,3223,2509,"7",NA,NA,NA,NA,"1","5","20-Oct","rainfed-type",-234.5
"643",244,"A1279",4016509,"IRRI123","PSB RC 82","IR 47761-27-1-3-6/PSB RC 28 (IR 56381-139-2-2)","A3446",1,"3","21",20130608,80,110,114,20,9.7,2639,NA,2963,2771,"7","S",3,5,3,"1","5","17-Oct",NA,-18.5000000000005
"644",553,"A1575",4016509,"IRRI123","PSB RC 82","IR 47761-27-1-3-6/PSB RC 28 (IR 56381-139-2-2)","A3446",1,"4","58",20130608,86,116,121,15,11.2,2719,NA,2538,2808,NA,NA,5,3,4," 1/7","1/3","10-Oct","shb",18.4999999999995
"645",289,"A1280",4016510,"IRRI138","NSIC RC 116 H","IR 68897 A/IR 60819-34-2 R","A3448",1,"2","25",20130608,77,107,100,17,9.7,2428,NA,2550,2549,NA,NA,3,1,NA,"1","5","07-Oct",NA,0
"646",324,"A1281",4016511,"IRRI143","NSIC RC 140","IR 64 (WH)/ADAY SEL//3IR 64","A3320",1,"1","7",20130608,78,108,117,19,9.7,2621,NA,1959,2752,"9",NA,3,1,4,"1","7","30-Sep","good",269.5
"647",630,"A1576",4016511,"IRRI143","NSIC RC 140","IR 64 (WH)/ADAY SEL//3IR 64","A3320",1,"1","64",20130608,80,110,111,15,9.9,2112,NA,NA,2213,"5","S",3,5,1,"1","7","07-Oct","neck blast",-269.5
"648",313,"A1282",4016518,"IRRI146","NSIC RC 158","IR 73885-1-4-3-2-1-6 (MATATAG 9)/IR 70479-45-2-3//IR 64680-81-2-2-1-3","A6300",1,"1","18",20130608,90,120,114,19,9.9,3211,2,2055,3364,NA,NA,3,3,0,"1","5","10-Oct","shb, ",-67.9999999999977
"649",651,"A1577",4016518,"IRRI146","NSIC RC 158","IR 73885-1-4-3-2-1-6 (MATATAG 9)/IR 70479-45-2-3//IR 64680-81-2-2-1-3","A6300",1,"1","43",20130608,90,120,109,21,10.1,3348,NA,NA,3500,NA,NA,3,9,0," 1/7","7","14-Oct",NA,68.0000000000023
"650",154,"A1283",4016519,"IRRI151","NSIC RC 214","IR00A112/PSB RC 20 (IR 57301-195-3-3)","A6770",1,"6","22",20130608,88,118,115,17,9.6,2117,NA,2353,2225,NA,NA,3,3,3,"1","7","17-Oct",NA,-198.000000000001
"651",577,"A1578",4016519,"IRRI151","NSIC RC 214","IR00A112/PSB RC 20 (IR 57301-195-3-3)","A6770",1,"3","51",20130608,89,119,127,13,9.5,2491,NA,NA,2621,"5","S",5,7,3,"1","5","17-Oct",NA,197.999999999999
"652",169,"A1284",4016512,"IRRI154","NSIC RC 222","IR 73012-137-2-2-2/PSB RC 10 (IR 50404-57-2-2-3)","A3700",1,"5","30",20130608,88,118,112,16,10,3251,NA,2379,3402,NA,NA,3,1,3,"1","7","07-Oct","good",293.666666666668
"653",483,"A1583",4016512,"IRRI154","NSIC RC 222","IR 73012-137-2-2-2/PSB RC 10 (IR 50404-57-2-2-3)","A3700",1,"6","54",20130608,89,119,122,16,9.9,2536,NA,1533,2657,"7","S",3,5,1,"1","1","14-Oct","shb",-451.333333333332
"654",515,"A1583",4016512,"IRRI154","NSIC RC 222","IR 73012-137-2-2-2/PSB RC 10 (IR 50404-57-2-2-3)","A3700",2,"5","47",20130608,89,119,122,19,11.6,3177,NA,2592,3266,"3",NA,NA,NA,NA,"1","5","20-Oct",NA,157.666666666668
"655",20,"A1285",4016513,"IRRI156","NSIC 2011 RC 238","IR 72870-102-2-2-1-3/IR 72870-19-2-2-3","A3450",1,"10","20",20130608,88,118,116,16,11,2550,NA,2177,2639,NA,NA,3,3,0,"1","5","10-Oct","shb",-337.499999999999
"656",529,"A1579",4016513,"IRRI156","NSIC 2011 RC 238","IR 72870-102-2-2-1-3/IR 72870-19-2-2-3","A3450",1,"4","34",20130608,87,117,127,14,10.2,3174,NA,2382,3314,NA,NA,5,7,2,"7"," 1/5","11-Oct","Bb",337.500000000001
"657",56,"A1286",1402027,"IRRI168","NSIC RC 302","IR 72904-65-1-3-3/IR 73012-137-2-2-2","A3209",1,"9","11",20130608,91,121,124,16,11.1,2579,3,2398,2666,"5",NA,3,3,3,"1","5","09-Oct","shb",61
"658",255,"A1286",1402027,"IRRI168","NSIC RC 302","IR 72904-65-1-3-3/IR 73012-137-2-2-2","A3209",2,"3","10",20130608,91,121,120,17,9.4,2653,NA,2871,2795,NA,NA,NA,NA,NA,"1","5","14-Oct",NA,190
"659",448,"A1584",1402027,"IRRI168","NSIC RC 302","IR 72904-65-1-3-3/IR 73012-137-2-2-2","A3209",1,"7","48",20130608,87,117,118,19,9.6,2365,NA,3177,2486,NA,NA,3,7,2,"1","5","09-Oct","good, shb",-119
"660",511,"A1584",1402027,"IRRI168","NSIC RC 302","IR 72904-65-1-3-3/IR 73012-137-2-2-2","A3209",2,"5","51",20130608,88,118,121,16,9.6,2353,NA,2547,2473,"3",NA,NA,NA,NA,"1","5","14-Oct","shb",-132
